,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
399,sabha,27.0377,14.4283,80.69,25,0,11.05,1627439705
400,kibre mengist,5.8833,38.9833,57.7,84,100,2.75,1627439919
401,morinville,53.8001,-113.652,73.81,51,1,3.44,1627439920
402,vieques,18.425,-65.8329,82.44,74,40,12.66,1627439920
403,daru,-9.0763,143.2092,77.0,91,99,12.15,1627439609
404,zalantun,48.0,122.7167,78.6,60,65,7.25,1627439920
405,amapa,1.0,-52.0,70.61,99,7,2.06,1627439921
406,ambositra,-20.5167,47.25,42.87,94,7,1.52,1627439921
407,cururupu,-1.8283,-44.8683,74.61,91,45,2.57,1627439921
408,hovd,48.0056,91.6419,74.91,30,0,3.65,1627439923
409,bud,39.447,-86.1758,77.92,84,0,0.47,1627439923
410,gramada,43.8344,22.6586,72.05,50,0,1.32,1627439923
411,mandalgovi,45.7625,106.2708,72.3,46,49,5.82,1627439648
412,terrace,54.5163,-128.6035,69.71,49,75,11.5,1627439924
413,georgetown,5.4112,100.3354,85.98,74,20,3.0,1627439593
414,lively,46.4334,-81.1498,67.01,81,83,4.45,1627439924
415,bubaque,11.2833,-15.8333,79.97,82,100,10.04,1627439924
416,santa isabel do rio negro,-0.4139,-65.0192,73.26,95,97,3.02,1627439925
417,kedrovyy,56.1667,91.8167,55.81,61,100,4.54,1627439925
418,guerrero negro,27.9769,-114.0611,70.16,82,0,16.24,1627439925
419,chingirlau,51.095,54.0814,69.44,41,18,7.29,1627439925
420,visby,57.6409,18.296,62.94,100,74,2.3,1627439926
421,borovoy,55.4333,86.0833,65.48,63,0,0.0,1627439897
422,trairi,-3.2778,-39.2689,76.91,86,9,9.37,1627439849
423,francisco sa,-16.4758,-43.4883,62.74,47,0,4.54,1627439926
424,boli,45.7667,130.5167,97.57,35,34,5.55,1627439926
425,nabire,-3.3667,135.4833,87.55,62,90,4.63,1627439927
426,nieuw nickerie,5.95,-56.9833,79.16,84,79,10.42,1627439927
427,sinnamary,5.3833,-52.95,77.49,87,6,7.2,1627439927
428,karaton,-6.3424,106.1045,82.33,50,58,1.41,1627439626
429,rio gallegos,-51.6226,-69.2181,41.05,87,0,13.8,1627439350
430,morondava,-20.2833,44.2833,64.35,61,0,12.46,1627439928
431,halvad,23.0167,71.1833,81.97,78,98,18.75,1627439928
432,boden,65.8252,21.6886,59.0,72,47,1.92,1627439928
433,hasanabad,36.5465,61.0543,73.62,33,0,0.0,1627439929
434,san matias,-16.3667,-58.4,60.8,64,15,10.36,1627439929
435,kavaratti,10.5669,72.642,81.59,78,100,19.73,1627439621
436,cacador,-26.7753,-51.015,34.57,85,37,6.82,1627439929
437,sao raimundo nonato,-9.0153,-42.6994,72.55,57,4,3.38,1627439930
438,gilgit,35.9221,74.3087,89.24,49,45,2.39,1627439930
439,asyut,27.181,31.1837,77.18,42,0,10.2,1627439930
440,sebinkarahisar,40.2883,38.4236,56.93,83,19,3.58,1627439931
441,pochutla,15.7432,-96.4661,79.83,91,96,3.69,1627439685
442,ponta do sol,32.6667,-17.1,70.72,78,3,3.98,1627439653
443,paamiut,61.994,-49.6678,44.28,82,71,14.05,1627439931
444,cayenne,4.9333,-52.3333,82.09,81,10,5.01,1627439403
445,emerald,-23.5333,148.1667,75.34,41,0,11.5,1627439886
446,alta floresta,-9.8756,-56.0861,72.03,44,3,3.29,1627439931
447,dalvik,65.9702,-18.5286,49.93,99,100,6.2,1627439932
448,homer,59.6425,-151.5483,68.07,71,75,14.97,1627439932
449,truro,50.2653,-5.0544,61.56,88,20,8.05,1627439666
450,dunedin,-45.8742,170.5036,52.81,54,40,5.99,1627439933
451,yerbogachen,61.2767,108.0108,84.6,37,3,10.74,1627439631
452,homa bay,-0.5273,34.4571,65.98,75,90,3.36,1627439933
453,solomenskoye,44.2167,44.3528,61.27,91,100,4.43,1627439933
454,paragominas,-2.9667,-47.4833,76.37,78,98,4.72,1627439934
455,egvekinot,66.3167,-179.1667,39.74,90,100,11.77,1627439934
456,port-gentil,-0.7193,8.7815,75.25,80,33,9.73,1627439934
457,matara,5.9485,80.5353,81.45,84,95,11.25,1627439686
458,yanaul,56.2719,54.9309,53.74,65,4,7.76,1627439934
459,sao felix do xingu,-6.6447,-51.995,71.42,50,0,1.57,1627439663
460,ocean city,39.2776,-74.5746,77.99,84,2,3.0,1627439888
461,neuquen,-38.9516,-68.0591,37.29,70,0,2.3,1627439935
462,ixtapa,20.7,-105.2,85.23,74,90,0.0,1627439661
463,agua verde,22.9,-106.05,83.03,81,60,8.01,1627439935
464,grand-santi,4.25,-54.3833,72.39,98,36,2.53,1627439936
465,ahuimanu,21.4447,-157.8378,83.91,65,75,13.8,1627439936
466,chanika,-5.4167,38.0167,56.98,98,18,2.28,1627439936
467,cristobal obregon,16.35,-93.5333,79.86,97,100,2.55,1627439937
468,makakilo city,21.3469,-158.0858,82.72,60,1,13.8,1627439937
469,asau,46.4333,26.4,72.39,71,12,6.04,1627439656
470,cabra,37.4725,-4.4421,75.9,53,0,3.06,1627439937
471,yacuiba,-22.038,-63.6797,46.26,53,6,4.05,1627439937
472,deming,32.2687,-107.7586,84.09,32,20,10.36,1627439938
473,arica,-18.475,-70.3042,59.23,82,90,5.75,1627439750
474,kushiro,42.975,144.3747,79.75,73,40,8.05,1627439938
475,tema,5.667,-0.0166,75.0,84,98,10.87,1627439939
476,kunming,25.0389,102.7183,66.13,88,90,6.71,1627439719
477,wanning,18.8003,110.3967,91.47,61,100,7.61,1627439939
478,toccoa,34.5773,-83.3324,80.73,89,1,0.0,1627439939
479,namtsy,62.7161,129.6658,73.51,30,10,10.69,1627439940
480,zhezkazgan,47.8043,67.7144,70.2,32,2,11.72,1627439940
481,prienai,54.6333,23.95,63.95,95,11,4.34,1627439940
482,bunia,1.5667,30.25,64.9,83,81,1.95,1627439940
483,port pirie,-33.1833,138.0167,62.69,56,14,17.47,1627439701
484,launceston,-41.45,147.1667,52.81,89,90,5.01,1627439941
485,yeppoon,-23.1333,150.7333,76.78,57,72,9.55,1627439609
486,mount pleasant,32.7941,-79.8626,83.98,91,20,1.01,1627439806
487,udachnyy,66.4167,112.4,85.46,39,54,8.03,1627439941
488,rongcheng,30.634,117.8517,80.83,89,100,6.44,1627439942
489,dahuk,36.8695,42.994,85.64,21,0,3.31,1627439709
490,naze,28.3667,129.4833,83.32,84,56,12.84,1627439942
491,beloha,-25.1667,45.05,62.01,77,0,11.7,1627439942
492,parfino,57.9731,31.6481,62.78,88,100,4.9,1627439943
493,buenos aires,-34.6132,-58.3772,46.98,68,85,4.0,1627439688
494,bucerias,20.75,-105.3333,85.98,74,90,0.0,1627439943
495,amudat,1.95,34.95,65.73,80,91,2.42,1627439943
496,hami,42.8,93.45,96.26,12,13,11.36,1627439944
497,albania,41.0,20.0,67.39,34,0,5.06,1627439944
498,malakal,9.5334,31.6605,69.69,97,100,3.42,1627439644
499,lakhimpur,27.95,80.7667,82.04,82,100,4.03,1627439945
500,victor harbor,-35.5667,138.6167,57.47,67,8,3.0,1627439945
501,simao,22.7886,100.9748,71.1,89,98,2.21,1627439945
502,agadir,30.4202,-9.5982,68.5,86,8,3.49,1627439945
503,ossora,59.2353,163.0719,63.28,63,100,5.73,1627439946
504,cedar city,37.6775,-113.0619,79.77,35,1,11.5,1627439921
505,margate,51.3813,1.3862,63.3,87,100,4.0,1627439700
506,port moresby,-9.4431,147.1797,87.22,66,75,11.5,1627439682
507,krutikha,53.9599,81.2093,61.29,58,100,1.63,1627439946
508,eregli,37.5133,34.0467,63.36,51,0,7.07,1627439947
509,sakata,38.9167,139.855,71.78,94,75,8.05,1627439947
510,ambon,-3.6954,128.1814,89.74,66,40,5.75,1627439712
